"IAFOST","2109","000000000000",1,"D",149,"D",3,0,"10128082","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",11,0,"10128436","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",24,0,"10129558","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",2,0,"10131389","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",26,0,"1026","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",74,0,"1027","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",0,48,"10548","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",0,16,"110024","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",0,24,"110025","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",0,1,"11023-AS","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",0,1,"11080-BU","GGSL"
"IAFOST","2109","000000000000",14,"D",450,"D",58,0,"1112(1912)","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",9,0,"11-80010","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",0,2,"12527","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",4,0,"12809000","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",0,2,"12895","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",2,0,"12909190","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",5,0,"12920704","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",3,0,"12920709","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",0,2,"13002-GR","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",0,2,"13007-A","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",0,1,"13011","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",0,24,"13013","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",0,12,"13014","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",2,0,"130192","GGSL"
"IAFOST","2109","000000000000",0,"Z",0,"Z",0,1,"13022-RD","GGSL"
