"OHBFG","2109","000000-000000",556.00,"D",10027.74,"D",3728.00,.00,"23-96104","GGSL"
"OHBFG","2109","000000-000000",1.00,"D",152.27,"D",6.00,.00,"25023","GGSL"
"OHBFG","2109","000000-000000",1.00,"D",153.89,"D",11.00,.00,"25123","GGSL"
"OHBFG","2109","000000-000000",2.00,"D",314.25,"D",8.00,.00,"25823","GGSL"
"OHBFG","2109","000000-000000",1.00,"D",58.22,"D",15.00,.00,"2594BK","GGSL"
"OHBFG","2109","000000-000000",36.00,"D",381.78,"D",198.00,.00,"3 YR-3100","GGSL"
"OHBFG","2109","000000-000000",1.00,"D",677.54,"D",.00,.00,"40065","GGSL"
"OHBFG","2109","000000-000000",144.00,"D",583.68,"D",352.00,.00,"40200010","GGSL"
"OHBFG","2109","000000-000000",126.00,"D",462.42,"D",.00,.00,"40205492","GGSL"
"OHBFG","2109","000000-000000",126.00,"D",488.88,"D",.00,.00,"40205493","GGSL"
"OHBFG","2109","000000-000000",252.00,"D",947.52,"D",.00,.00,"40205495","GGSL"
"OHBFG","2109","000000-000000",.00,"Z",-342.05,"C",.00,.00,"413014","GGSL"
"OHBFG","2109","000000-000000",40.00,"D",646.00,"D",360.00,.00,"416202","GGSL"
"OHBFG","2109","000000-000000",50.00,"D",1587.50,"D",70.00,.00,"416205","GGSL"
"OHBFG","2109","000000-000000",58.00,"D",4118.00,"D",.00,.00,"416206","GGSL"
"OHBFG","2109","000000-000000",40.00,"D",5790.00,"D",.00,.00,"416207","GGSL"
"OHBFG","2109","000000-000000",110.00,"D",1897.80,"D",1600.00,.00,"416305","GGSL"
"OHBFG","2109","000000-000000",55.00,"D",1854.05,"D",360.00,.00,"416310","GGSL"
"OHBFG","2109","000000-000000",30.00,"D",2416.83,"D",270.00,.00,"416325","GGSL"
"OHBFG","2109","000000-000000",8.00,"D",1287.06,"D",378.00,.00,"416350","GGSL"
"OHBFG","2109","000000-000000",1.00,"D",362.51,"D",.00,.00,"4520PA2","GGSL"
"OHBFG","2109","000000-000000",2.00,"D",216.60,"D",88.00,1.00,"484006","GGSL"
"OHBFG","2109","000000-000000",1.00,"D",1190.10,"D",.00,.00,"60123","GGSL"
"OHBFG","2109","000000-000000",30.00,"D",542.04,"D",72.00,.00,"60-12430","GGSL"
"OHBFG","2109","000000-000000",48.00,"D",764.43,"D",96.00,.00,"60-12450","GGSL"
"OHBFG","2109","000000-000000",60.00,"D",500.40,"D",195.00,30.00,"6081036001","GGSL"
"OHBFG","2109","000000-000000",100.00,"D",355.00,"D",150.00,.00,"612107","GGSL"
"OHBFG","2109","000000-000000",71.00,"D",909.65,"D",.00,.00,"660","GGSL"
"OHBFG","2109","000000-000000",7.00,"D",1087.94,"D",.00,.00,"6690-1800C","GGSL"
"OHBFG","2109","000000-000000",2.00,"D",413.10,"D",.00,.00,"6690-2100C","GGSL"
"OHBFG","2109","000000-000000",1.00,"D",61.82,"D",.00,.00,"70804","GGSL"
"OHBFG","2109","000000-000000",3.00,"D",118.33,"D",28.00,2.00,"70811","GGSL"
"OHBFG","2109","000000-000000",4.00,"D",179.28,"D",16.00,.00,"80101.04","GGSL"
"OHBFG","2109","000000-000000",3.00,"D",973.65,"D",.00,.00,"82300","GGSL"
"OHBFG","2109","000000-000000",-10.00,"C",-6.48,"C",.00,.00,"8707MZ","GGSL"
"OHBFG","2109","000000-000000",1.00,"D",167.05,"D",23.00,.00,"905562","GGSL"
"OHBFG","2109","000000-000000",15.00,"D",59354.00,"D",.00,.00,"99999","GGSL"
"OHBFG","2109","000000-000000",18.00,"D",128.70,"D",1.00,.00,"A600101","GGSL"
"OHBFG","2109","000000-000000",18.00,"D",129.24,"D",.00,.00,"A600102","GGSL"
"OHBFG","2109","000000-000000",1.00,"D",181.80,"D",1.00,.00,"A600106","GGSL"
"OHBFG","2109","000000-000000",1.00,"D",1699.00,"D",.00,.00,"ADGRFL","GGSL"
"OHBFG","2109","000000-000000",110.00,"D",2112.00,"D",.00,.00,"AFSNB","GGSL"
"OHBFG","2109","000000-000000",2.00,"D",1249.60,"D",.00,.00,"ALLJACK","GGSL"
"OHBFG","2109","000000-000000",432.00,"D",4436.64,"D",.00,.00,"BPS4","GGSL"
"OHBFG","2109","000000-000000",10.00,"D",9.10,"D",80.00,.00,"C58HM","GGSL"
"OHBFG","2109","000000-000000",60.00,"D",2035.80,"D",.00,.00,"CBCY","GGSL"
"OHBFG","2109","000000-000000",-1.00,"C",-505.05,"C",.00,.00,"DPRBP2","GGSL"
"OHBFG","2109","000000-000000",-1.00,"C",-505.05,"C",.00,.00,"DPRBP3","GGSL"
"OHBFG","2109","000000-000000",12.00,"D",6048.00,"D",.00,.00,"FD1225","GGSL"
"OHBFG","2109","000000-000000",690.00,"D",6729.94,"D",264.00,.00,"FL10637","GGSL"
"OHBFG","2109","000000-000000",128.00,"D",3984.99,"D",264.00,.00,"FL10638","GGSL"
"OHBFG","2109","000000-000000",1.00,"D",362.30,"D",.00,.00,"FL10761Q","GGSL"
