"IAFOST","2102","0-73035",302,"EASY GARDENER PRODUCTS, INC.","GGPO"
"IAFOST","2102","0-73222",105,"VOLUNTARY PURCHASING GROUPS","GGPO"
"IAFOST","2102","0-73561",21630,"THE SCOTTS COMPANY","GGPO"
"IAFOST","2102","0-78627",2705,"SWAN PRODUCTS, LLC","GGPO"
"IAFOST","2102","0-80359",214,"HYDRO FARM, INC.","GGPO"
"IAFOST","2102","0-84518",27,"OAK STREET WHOLESALE","GGPO"
"IAFOST","2102","0-87404",17624,"BLOEM, LLC","GGPO"
"IAFOST","2102","0-88685",56966,"LEBANON SEABOARD CORPORATION","GGPO"
"IAFOST","2102","0-89146",-21,"KNOX FERTILIZER CO INC","GGPO"
"IAFOST","2102","0-93432",529,"PANACEA","GGPO"
"IAFOST","2102","0-94922",10289,"PURPLE COW ORGANICS","GGPO"
"IAFOST","2102","0-95422",28717,"AMERICAN GARDENWORKS CO","GGPO"
"IAFOST","2102","0-96069",38241,"CARSON HOME ACCENTS","GGPO"
"IAFOST","2102","0-96587",9725,"YOUNG'S INC.","GGPO"
"IAFOST","2102","1-00322",1211,"THE SCOTTS COMPANY","GGPO"
"IAFOST","2102","1-00364",268,"DRAMM","GGPO"
"IAFOST","2102","1-00715",2086,"THE SCOTTS COMPANY","GGPO"
"IAFOST","2102","1-00735",0,"THE SCOTTS COMPANY","GGPO"
"IAFOST","2102","1-06713",74,"J.R. PETERS, INC.","GGPO"
"IAFOST","2102","1-08215",-24,"ALPINE CORPORATION","GGPO"
"IAFOST","2102","3-90503",3479,"LIFETYME SEED COMPANY","GGPO"
"IAFOST","2102","5-02171",79,"TDI BRANDS","GGPO"
"IAFOST","2102","5-03451",473,"HYDRO FARM, INC.","GGPO"
"IAFOST","2102","5-06002",1388,"SUNSHINE CERAMICA","GGPO"
"IAFOST","2102","5-55555",111,"COHASSET GIFTS & GARDEN","GGPO"
"IAFOST","2102","6-00364",385,"DRAMM","GGPO"
"IAFOST","2102","6-03799",146,"DICKSONS","GGPO"
"IAFOST","2102","6-05083",281,"LUSTER LEAF PRODUCTS","GGPO"
"IAFOST","2102","6-05462",174,"SUNSET VISTA DESIGNS., INC.","GGPO"
"IAFOST","2102","6-06115",42043,"FESTIVAL WIND CHIMES","GGPO"
"IAFOST","2102","6-13499",860,"TECH PAC LLC","GGPO"
"IAFOST","2102","6-13640",12422,"JACKSON POTTERY","GGPO"
"IAFOST","2102","6-16314",24,"WEST CHESTER HOLDINGS LLC","GGPO"
"IAFOST","2102","6-19216",32353,"BRAUN HORTICULTURE","GGPO"
"IAFOST","2102","6-28132",318,"WALTON WOOD FARM","GGPO"
"IAFOST","2102","6-28836",274,"HYDRO FARM, INC.","GGPO"
"IAFOST","2102","6-30104",5886,"PREMIER KITES","GGPO"
"IAFOST","2102","6-38071",9642,"ANCIENT GRAFFITI","GGPO"
"IAFOST","2102","6-38104",4578,"HYDRO FARM, INC.","GGPO"
"IAFOST","2102","6-39285",6398,"MARSHALL HOME","GGPO"
"IAFOST","2102","6-39751",7992,"RADIANS INC","GGPO"
"IAFOST","2102","6-45194",3483,"SONGBIRD ESSENTIALS","GGPO"
"IAFOST","2102","6-46143",21807,"RENEE'S GARDEN","GGPO"
"IAFOST","2102","6-51124",15850,"SPECTRUM BRANDS PHG","GGPO"
"IAFOST","2102","6-55763",31,"WORLD SOURCE PARTNERS LLC","GGPO"
"IAFOST","2102","6-56200",3877,"P. GRAHAM DUNN","GGPO"
"IAFOST","2102","6-57641",132463,"REGAL ART & GIFT","GGPO"
"IAFOST","2102","6-62974",8293,"VAN DIEST SUPPLY COMPANY","GGPO"
"IAFOST","2102","6-71341",3049,"J.R. PETERS, INC.","GGPO"
"IAFOST","2102","6-74326",3494,"RADIANS INC","GGPO"
"IAFOST","2102","6-83963",3041,"CUSTOM DECOR, INC.","GGPO"
"IAFOST","2102","6-84143",19812,"SOUTHERN PATIO","GGPO"
