"ILVGSU","2110","0-32247-51063-9",6,"D",52,"D",30,6,"","GGSL"
"ILVGSU","2110","0-32247-51070-7",12,"D",81,"D",1140,1004,"","GGSL"
"ILVGSU","2110","0-71549-01674-6",40,"D",219,"D",6,80,"","GGSL"
"ILVGSU","2110","0-71549-02213-6",888,"D",2912,"D",8994,474,"","GGSL"
"ILVGSU","2110","0-71549-02215-0",340,"D",4348,"D",8480,408,"","GGSL"
"ILVGSU","2110","0-71549-02219-8",232,"D",1450,"D",6276,192,"","GGSL"
"ILVGSU","2110","0-71549-03964-6",12,"D",68,"D",1920,1572,"","GGSL"
"ILVGSU","2110","0-71549-04253-0",24,"D",140,"D",1380,0,"","GGSL"
"ILVGSU","2110","0-71549-04477-0",66,"D",256,"D",4950,1536,"","GGSL"
"ILVGSU","2110","0-71549-43887-6",996,"D",2828,"D",588,204,"","GGSL"
"ILVGSU","2110","0-71549-46008-2",128,"D",1600,"D",2452,36,"","GGSL"
"ILVGSU","2110","0-71549-46025-9",738,"D",2937,"D",678,132,"","GGSL"
"ILVGSU","2110","0-71549-99946-9",228,"D",1892,"D",696,0,"","GGSL"
"ILVGSU","2110","8-88603-03680-6",708,"D",3816,"D",972,2100,"","GGSL"
"ILVGSU","2110","8-88603-03681-3",342,"D",1843,"D",198,1506,"","GGSL"
"ILVGSU","2110","8-88603-03683-7",288,"D",1189,"D",1760,104,"","GGSL"
"ILVGSU","2110","0-32247-74250-4",96,"D",526,"D",3156,192,"","GGSL"
"ILVGSU","2110","0-32247-77860-2",36,"D",381,"D",210,12,"","GGSL"
"ILVGSU","2110","0-73561-00022-2",18,"D",68,"D",1422,24,"","GGSL"
"ILVGSU","2110","0-73561-00028-4",48,"D",292,"D",8496,12,"","GGSL"
"ILVGSU","2110","0-73561-00042-0",12,"D",45,"D",4956,114,"","GGSL"
"ILVGSU","2110","0-73561-00055-0",1386,"D",3118,"D",12756,1026,"","GGSL"
"ILVGSU","2110","0-73561-00070-3",6,"D",22,"D",3636,36,"","GGSL"
"ILVGSU","2110","0-73561-00112-0",54,"D",205,"D",32094,78,"","GGSL"
"ILVGSU","2110","0-73561-00150-2",162,"D",622,"D",9180,54,"","GGSL"
"ILVGSU","2110","0-73561-00192-2",42,"D",159,"D",16746,234,"","GGSL"
"ILVGSU","2110","0-73561-00195-3",432,"D",959,"D",3048,228,"","GGSL"
"ILVGSU","2110","0-73561-00252-3",672,"D",530,"D",10656,912,"","GGSL"
"ILVGSU","2110","0-73561-00366-7",168,"D",221,"D",1680,96,"","GGSL"
"ILVGSU","2110","0-73561-00404-6",12,"D",61,"D",5796,0,"","GGSL"
"ILVGSU","2110","0-73561-00410-7",12,"D",103,"D",4968,120,"","GGSL"
"ILVGSU","2110","0-73561-00432-9",30,"D",292,"D",10098,18,"","GGSL"
"ILVGSU","2110","0-73561-00531-9",480,"D",1080,"D",6498,438,"","GGSL"
"ILVGSU","2110","0-73561-00556-2",18,"D",94,"D",2682,48,"","GGSL"
"ILVGSU","2110","0-73561-00590-6",270,"D",607,"D",4206,198,"","GGSL"
"ILVGSU","2110","0-73561-01611-7",36,"D",359,"D",2466,6,"","GGSL"
"ILVGSU","2110","0-73561-03836-2",6,"D",62,"D",1350,0,"","GGSL"
"ILVGSU","2110","0-73561-10114-1",42,"D",419,"D",2514,12,"","GGSL"
"ILVGSU","2110","0-73561-30019-3",30,"D",258,"D",3732,30,"","GGSL"
"ILVGSU","2110","0-73561-30022-3",54,"D",460,"D",2124,6,"","GGSL"
"ILVGSU","2110","0-73561-30033-9",72,"D",324,"D",90,12,"","GGSL"
"ILVGSU","2110","0-73561-30035-3",6,"D",43,"D",636,0,"","GGSL"
"ILVGSU","2110","0-73561-30053-7",48,"D",224,"D",324,12,"","GGSL"
"ILVGSU","2110","0-73561-30054-4",6,"D",28,"D",192,0,"","GGSL"
"ILVGSU","2110","0-73561-30098-8",6,"D",56,"D",3540,84,"","GGSL"
"ILVGSU","2110","0-73561-31000-0",696,"D",459,"D",14544,336,"","GGSL"
"ILVGSU","2110","0-73561-48510-4",120,"D",585,"D",5292,72,"","GGSL"
